,Word,x_val,y_val
0,beginning,-1.2564035654067993,0.3417239785194397
1,end,-1.5073981285095215,1.3026411533355713
2,succession,-1.2780829668045044,0.35598665475845337
3,house,-2.644399881362915,0.8153384327888489
4,rise,-2.6621222496032715,0.5403758883476257
5,fall,-1.255680799484253,0.19430093467235565
6,crumble,-1.156599998474121,-0.004716016352176666
7,extended,-1.0142697095870972,0.0068251159973442554
8,removed,-0.8668310642242432,0.035826895385980606
9,destroyed,-0.8985373973846436,0.12104390561580658
10,restored,0.04810197651386261,-1.158471703529358
11,place,-1.16875422000885,0.24215875566005707
12,open,-1.7013972997665405,2.3359806537628174
13,field,-1.7225289344787598,2.215449571609497
14,factory,-1.5073020458221436,-0.04527236893773079
15,old,-2.203155517578125,-0.4958285093307495
16,stone,-2.637532949447632,0.4941481947898865
17,new,-1.299131155014038,-3.233705520629883
18,building,-3.276062488555908,-0.8558827638626099
19,timber,-1.9009439945220947,-1.2962762117385864
20,fire,-1.32639741897583,-3.3306081295013428
21,ash,-2.4615025520324707,-2.9765987396240234
22,earth,-1.5127373933792114,-3.479985237121582
23,already,-1.573752760887146,-1.311218500137329
24,flesh,-0.8683066964149475,-1.772028923034668
25,fur,-1.5683313608169556,-1.2820184230804443
26,faeces,-1.4982112646102905,-1.0128165483474731
27,bone,-1.5542770624160767,-0.7453404068946838
28,beast,-3.122304916381836,-0.7391800880432129
29,cornstalk,-1.6251424551010132,-0.4303332567214966
30,leaf,-1.8262883424758911,-0.4079480469226837
31,live,-1.9615914821624756,-0.49463194608688354
32,die,-1.2129876613616943,-1.6510188579559326
33,time,-4.552390098571777,-0.4372520446777344
34,living,-3.9654555320739746,-1.3288830518722534
35,generation,-2.2576844692230225,-0.22865554690361023
36,wind,-3.290501832962036,1.642334222793579
37,break,-2.047994375228882,0.04576484113931656
38,loosened,-1.972465991973877,0.1358967125415802
39,pane,-1.6347789764404297,0.2953352928161621
40,shake,-1.516135573387146,0.6404343843460083
41,wainscot,-1.0110570192337036,0.25772660970687866
42,trot,-0.7483143210411072,0.21976236999034882
43,tattered,-0.3349429965019226,0.2893432378768921
44,arras,-0.33656442165374756,0.4619230628013611
45,woven,-0.2973862588405609,0.5993320941925049
46,silent,1.5300010442733765,1.1152375936508179
47,motto,-0.49068304896354675,0.9224376082420349
48,light,-0.549685537815094,3.5968472957611084
49,falls,-0.8439330458641052,1.308769702911377
50,across,-0.8165070414543152,1.3008979558944702
51,leaving,0.40472960472106934,0.8639336228370667
52,deep,-0.38524821400642395,1.9730091094970703
53,lane,-0.41466033458709717,2.0923922061920166
54,shuttered,0.12694784998893738,1.179648995399475
55,branch,0.3875029981136322,1.2140063047409058
56,dark,3.532801389694214,3.1263391971588135
57,afternoon,0.3965338170528412,1.1503323316574097
58,lean,0.33320361375808716,1.1428160667419434
59,bank,0.28464943170547485,1.0370210409164429
60,van,0.027414506301283836,0.9700698256492615
61,pass,-0.10732375830411911,0.9788907170295715
62,insists,-0.5347892642021179,1.0412293672561646
63,direction,-0.6791077852249146,1.158644199371338
64,village,-0.852924108505249,1.3124732971191406
65,electric,-0.8868628740310669,1.311701774597168
66,heat,-2.4499685764312744,2.994781494140625
67,hypnotised,-1.0604848861694336,1.568238377571106
68,warm,-1.0585604906082153,1.6603128910064697
69,haze,-1.148715615272522,1.5377471446990967
70,sultry,-1.2257789373397827,1.4886467456817627
71,absorbed,-1.4149739742279053,1.2681511640548706
72,refracted,-1.4122793674468994,1.2561568021774292
73,grey,-2.718663215637207,1.6683555841445923
74,dahlia,-1.4131381511688232,1.8127353191375732
75,sleep,-1.2525739669799805,1.8763909339904785
76,empty,-1.0098196268081665,3.76810622215271
77,silence,-2.7951366901397705,2.937502145767212
78,wait,1.1433411836624146,3.7631847858428955
79,early,-1.2424734830856323,3.0816214084625244
80,owl,-0.5305571556091309,2.324333906173706
81,come,0.6842659711837769,4.029557704925537
82,close,-1.0268150568008423,2.9510953426361084
83,summer,-2.036968946456909,2.239248275756836
84,midnight,-0.7960429191589355,1.3636014461517334
85,hear,-1.062584638595581,2.564943790435791
86,music,-1.109619379043579,1.1038947105407715
87,weak,-1.3131473064422607,0.8547020554542542
88,pipe,-1.4824899435043335,0.7756801247596741
89,little,-1.5370057821273804,0.6338120698928833
90,drum,-1.7760236263275146,0.450472354888916
91,see,-3.271519899368286,0.36530840396881104
92,dancing,-2.250209093093872,0.6363924741744995
93,around,-1.9293451309204102,0.20150338113307953
94,bonfire,-1.908694863319397,0.08214755356311798
95,association,-1.7876981496810913,0.027903346344828606
96,woman,-3.3859801292419434,-0.28068605065345764
97,daunsinge,-1.4508335590362549,-0.022213300690054893
98,signifying,-1.319351315498352,-0.04434455186128616
99,dignified,-1.2163387537002563,-0.01371702179312706
100,commodiois,-1.0143053531646729,0.018240399658679962
101,sacrament,-0.8961762189865112,0.03971117362380028
102,two,-1.2663875818252563,0.17394223809242249
103,necessarye,-0.7516065835952759,-0.015342867001891136
104,coniunction,-0.6260399222373962,-0.08549130707979202
105,holding,-0.6890844106674194,-0.15147659182548523
106,eche,-0.6097837686538696,-0.2313814014196396
107,hand,-0.7361939549446106,-0.3644578456878662
108,arm,-0.8075722455978394,-0.45674076676368713
109,whiche,-0.7879636883735657,-0.5412647128105164
110,betokeneth,-0.7402410507202148,-0.7127832770347595
111,concorde,-0.8867745995521545,-0.7671026587486267
112,round,-1.5779255628585815,-1.603990077972412
113,leaping,-0.9492786526679993,-0.9971128106117249
114,flame,-1.3613698482513428,-1.8638314008712769
115,joined,-0.7794088125228882,-0.8971795439720154
116,circle,-0.6715402603149414,-0.9144970178604126
117,rustically,-0.61939537525177,-0.906787633895874
118,solemn,-0.5104540586471558,-0.9039763808250427
119,rustic,-0.587159276008606,-0.9151197075843811
120,laughter,0.3860207498073578,-1.6270500421524048
121,lifting,-0.8216632008552551,-1.0467133522033691
122,heavy,-0.97586989402771,-1.0828510522842407
123,foot,-3.146367311477661,-1.369588017463684
124,clumsy,-1.1973470449447632,-1.1651335954666138
125,shoes,-1.243811845779419,-1.1013789176940918
126,loam,-1.1557503938674927,-1.0529758930206299
127,lifted,-1.2160382270812988,-1.1056514978408813
